Nome ,Localização,Cod
Coqueiro,Bloco 2  atrás,"-20.803075571511812, -41.1547597338007"
Acerola ,Bloco 0  atrás,"-20.80365443018951, -41.15488199509244"
Acerola ,Perto do Galpão,"-20.8036999983438, -41.154308776222365"
Limão,Bloco 0  atrás,"-20.803635212907782, -41.155118691102565"
Mexirica,Bloco 0 atrás,"-20.80362150823561, -41.1550386222784"
Laranja,Bloco 0 atrás,"-20.803629941880178, -41.15509049785461"
Goiaba,Bloco 0  atrás,"-20.80364575496245, -41.15478713850672"
Coqueiro,Bloco 0  atrás,"-20.803643646551585, -41.1544758850494"
Amora,Perto do Galpão,"-20.803700573634718, -41.154424009467014"
Manguaba,Perto do Galpão,"-20.80358215349191, -41.15426921364132"
Acerola,Bloco 5  atrás,"-20.802964720169925, -41.15408682342513"
Acerola ,Bloco 5  atrás,"-20.8028586858666, -41.154156907345204"
Limão,Bloco 5  atrás,"-20.80280422191306, -41.15412272919814"
Goiaba,Bloco 7 atrás,"-20.80268144809763, -41.154048727198685"
Limão,Bloco 7 atrás,"-20.802737806582687, -41.154091152757196"
Jambo,Bloco 7 meio,"-20.802560310883635, -41.154089181573966"
Goiaba,Bloco 9 atrás,"-20.8024526519419, -41.15390522902338"
Jeriva,Bloco 8  atrás,"-20.802445789636185, -41.154650506795676"
Manga ,Bloco 6  atrás,"-20.802551651055015, -41.15478316917733"
Jambo ,Bloco 6 meio,"-20.802669282805073, -41.15474749157326"
Jambo,Bloco 9 meio,"-20.80255979995901, -41.15409987645347"
Goiaba,Quadra entrada,"-20.80203952283991, -41.154779816396825"
Banana ,Estacionamento entrada ,"-20.80175015240669, -41.15472543205228"
Amendoeiro ,Estacionamento entrada ,"-20.802637131495043, -41.15516397324799"
coco,Entrada,"-20.80274933555096, -41.15527662602812"
Manga calotinha ,Entrada ,"-20.802801363096012, -41.15566554631528"
Manga calotinha ,Entrada ,"-20.80263462414219, -41.15558440950004"
Carambola ,Entrada ,"-20.802770648040248, -41.15550394323"
